adult/id,adult_ticket_order_number,type_of_ticket,amount,attended,isOwner,adult/children_no,adult/createdAt,adult/updatedAt
bde1a9e9-3f1f-4a06-9491-23d4e789d91f,SF/ORNo/0T2CL,individual,3000,FALSE,FALSE,,2023-07-20T12:49:45.000Z,2023-07-20T12:51:25.000Z
d56d096d-901a-45dc-93e4-a15a286b40bb,SFF/ORNo/00580,group,2000,FALSE,FALSE,1,2023-07-21T15:42:24.000Z,2023-07-21T22:26:28.000Z
55caead9-cbd8-4bf9-9eb9-a2734c8353f5,SF/ORNo/7OVJP,individual,3000,FALSE,FALSE,,2023-07-21T16:07:25.000Z,2023-07-21T16:23:21.000Z
54c9719e-58ed-4134-aeef-10c04cc97821,SFF/ORNo/00581,group,2000,FALSE,FALSE,16,2023-07-21T15:42:24.000Z,2023-07-21T16:12:44.000Z
78913249-81c3-4edc-a1df-eb3c0ff5cea9,SFF/ORNo/00225,individual,3000,FALSE,FALSE,0,2023-07-14T12:34:51.000Z,2023-07-24T13:32:24.000Z
f45648ac-a1fe-4e5f-8238-0affd20d4c0c,SFF/ORNo/00268,group,2000,FALSE,TRUE,3,2023-07-20T19:00:04.000Z,2023-07-20T19:00:04.000Z
89f96bf2-354a-4850-acbc-36fedf8e220a,SF/ORNo/NXY0I,group,2500,FALSE,TRUE,,2023-07-16T09:18:22.000Z,2023-07-19T21:46:05.000Z
396ab0d0-8b05-4399-ab29-ed22ad99a50a,SFF/ORNo/00551,group,2000,FALSE,FALSE,2,2023-07-21T15:42:20.000Z,2023-07-21T16:12:07.000Z
2b007c99-f594-4c6b-9ae7-222fb936655c,SF/ORNo/LVB9F,group,2500,FALSE,FALSE,,2023-07-21T09:14:54.000Z,2023-07-21T09:16:09.000Z
4f6f77c6-06a3-4d8a-ba5b-6c63357f60db,SF/ORNo/HSYXL,group,2500,FALSE,FALSE,,2023-07-15T20:29:14.000Z,2023-07-15T20:29:14.000Z
5b857f48-6e6f-4a7e-9c9f-b0839c926064,SFF/ORNo/00251,group,2000,TRUE,FALSE,1,2023-07-21T18:30:29.000Z,2023-07-22T11:53:07.000Z
7bc723f5-91f1-436e-aa1d-c63106269c6d,SF/ORNo/LZQGP,individual,3000,FALSE,FALSE,,2023-07-21T21:07:50.000Z,2023-07-21T21:10:59.000Z
ca72a3a7-9af3-4538-a80b-20c304922ad6,SF/ORNo/JCQLQ,group,2000,FALSE,FALSE,,2023-07-18T13:16:27.000Z,2023-07-18T13:23:16.000Z
fab4b95d-64c6-46dc-b7db-e1beac79be6e,SF/ORNo/KYU74,group,2000,FALSE,FALSE,1,2023-07-22T11:44:03.000Z,2023-07-22T12:58:17.000Z
aeb0651e-b5ff-4679-81d1-70bca10c2289,SF/ORNo/5I5BN,group,2500,FALSE,FALSE,,2023-07-21T08:39:19.000Z,2023-07-21T08:45:11.000Z
0372b2f1-f6cb-44d1-ab56-1b9e32ea08f8,SFF/ORNo/00097,group,2500,FALSE,TRUE,1,2023-07-14T12:20:54.000Z,2023-07-20T20:44:19.000Z
ea9d2583-ad49-4c82-bdad-e1cfb2851ed5,SF/ORNo/BY8UN,individual,3000,FALSE,FALSE,,2023-07-16T18:51:15.000Z,2023-07-16T18:51:15.000Z
e8690a45-e6de-4e93-b5f7-a83dc7df8fd0,SF/ORNo/IPGHB,individual,3000,FALSE,FALSE,,2023-07-21T20:32:50.000Z,2023-07-21T20:35:03.000Z
ca656a27-5c75-4d58-aa70-0ad68df47118,SF/ORNo/7RBVV,group,2500,FALSE,FALSE,,2023-07-19T19:02:37.000Z,2023-07-19T19:05:00.000Z
efec2e33-e2f5-4538-8c18-82c1919cdc98,SFF/ORNo/00505,group,2000,TRUE,TRUE,2,2023-07-20T18:58:44.000Z,2023-07-22T10:46:19.000Z
92497297-6df4-4a88-8fc5-cd6d2f2b5ef4,SF/ORNo/UNPV1,group,2500,FALSE,FALSE,,2023-07-18T09:15:16.000Z,2023-07-18T09:26:08.000Z
b1bf018a-7697-43dd-85a5-92f17282de5f,SF/ORNo/DIXKU,individual,3000,FALSE,FALSE,,2023-07-20T17:53:09.000Z,2023-07-20T18:02:12.000Z
fc182e90-dd0d-45e0-a070-c95e42d5ead6,SFF/ORNo/00510,group,2000,FALSE,TRUE,1,2023-07-20T18:58:45.000Z,2023-07-21T22:41:35.000Z
fd7b5a7f-f1b5-4ffc-9a84-a196adce4df0,SF/ORNo/ALNSV,group,2500,FALSE,FALSE,,2023-07-15T19:23:01.000Z,2023-07-15T19:28:11.000Z
8cc3d542-4c33-4454-bda9-a65349cfd92b,SFF/ORNo/00201,group,2000,FALSE,TRUE,0,2023-07-18T12:11:52.000Z,2023-07-20T20:45:44.000Z
b8c9ab6b-c9fc-4867-9839-5ff204ee2aff,SF/ORNo/3QLSF,group,2000,FALSE,FALSE,,2023-07-15T12:36:51.000Z,2023-07-15T12:36:51.000Z
dbec3964-9039-4b23-a548-f6ef333b8a57,SFF/ORNo/00096,group,2500,FALSE,TRUE,4,2023-07-14T12:20:54.000Z,2023-07-20T20:44:18.000Z
be4dcf8a-ea07-4afd-a17c-daf98cf6a513,SF/ORNo/GZFJY,group,2500,FALSE,FALSE,,2023-07-15T17:49:08.000Z,2023-07-15T17:49:08.000Z
7f8c2574-fe3d-4eec-982d-1df0363c002d,SFF/ORNo/00509,group,2000,TRUE,TRUE,2,2023-07-20T18:58:45.000Z,2023-07-21T22:41:34.000Z
9dcb73d0-d5f9-4cb7-8e6d-98148bc6eceb,SFF/ORNo/00102,group,2500,FALSE,TRUE,3,2023-07-14T12:34:47.000Z,2023-07-20T20:44:23.000Z
8b5ef82a-e9fd-40b5-882e-c5294c432271,SFF/ORNo/00184,group,2500,FALSE,TRUE,2,2023-07-15T17:26:59.000Z,2023-07-21T18:52:49.000Z
35fdd1bf-a0b0-4971-97a4-957531a7bae6,SF/ORNo/5QJ26,group,2500,TRUE,FALSE,,2023-07-21T08:47:52.000Z,2023-07-22T13:28:11.000Z
c6590054-b487-4452-b12a-f32526668c9d,SF/ORNo/QIKAE,group,2500,FALSE,FALSE,,2023-07-21T13:37:55.000Z,2023-07-21T13:41:37.000Z
dff61fb0-2a2b-4059-8405-d11d10502183,SF/ORNo/7VH4Q,individual,3000,FALSE,FALSE,,2023-07-17T16:05:32.000Z,2023-07-17T16:05:32.000Z
387ae3d9-3ac3-4bca-af36-754cd83a59c2,SF/ORNo/GDLOP,group,2500,FALSE,TRUE,,2023-07-18T05:37:12.000Z,2023-07-20T09:23:57.000Z
0d923fcc-eae5-4883-b4c5-dbe04c5aed3c,SFF/ORNo/00224,individual,3000,FALSE,FALSE,0,2023-07-14T12:34:51.000Z,2023-07-19T06:42:58.000Z
052872ab-4e35-4c7c-9fd4-7a2edb9fe543,SF/ORNo/3QLSF,group,2000,FALSE,FALSE,,2023-07-15T12:36:51.000Z,2023-07-15T12:36:51.000Z
a8524fca-9c6b-4dc0-bfad-2665d7153e51,SF/ORNo/3MU8O,group,2500,FALSE,FALSE,,2023-07-18T05:37:12.000Z,2023-07-18T05:37:12.000Z
7a2fcc26-f6b7-4069-b2ab-8d779cac5d76,SF/ORNo/PD2OL,group,2500,FALSE,FALSE,,2023-07-15T14:48:20.000Z,2023-07-17T22:30:14.000Z
5c465030-119f-4878-914a-146be77fba90,SFF/ORNo/00502,group,2000,FALSE,TRUE,1,2023-07-20T18:58:44.000Z,2023-07-21T22:41:31.000Z
a8dbe460-a253-473f-896c-6a57bd97b426,SFF/ORNo/00177,group,2500,FALSE,TRUE,2,2023-07-15T17:26:57.000Z,2023-07-20T20:45:26.000Z
85ee1b46-03bc-4114-bf97-1f61c12f9b84,SFF/ORNo/00007,group,2500,FALSE,TRUE,3,2023-07-14T12:20:36.000Z,2023-07-20T20:43:27.000Z
d1254231-f567-4f55-88ab-a864921700ff,SF/ORNo/ZRCJV,group,2500,TRUE,FALSE,,2023-07-17T08:55:56.000Z,2023-07-17T08:57:23.000Z
d0a03694-855a-484a-9873-daa91e8c716f,SFF/ORNo/00548,group,2000,FALSE,FALSE,3,2023-07-21T15:42:19.000Z,2023-07-21T16:12:04.000Z
c9677537-23be-4a36-a5ed-cd25a2391fcd,SF/ORNo/CYWZO,individual,3000,TRUE,FALSE,,2023-07-18T14:10:23.000Z,2023-07-18T14:21:46.000Z
68313e9c-26b8-48d8-8cea-4cbd4445c772,SF/ORNo/YXLLE,group,2500,TRUE,FALSE,,2023-07-19T12:38:44.000Z,2023-07-19T13:19:13.000Z
9cf163e1-231f-4535-b893-76c5d6bacf47,SF/ORNo/IUXZY,group,2500,FALSE,FALSE,,2023-07-21T17:32:33.000Z,2023-07-21T17:34:01.000Z
bb5f03dc-4a3a-4f88-83d2-8328ea9260b6,SFF/ORNo/00591,group,2000,FALSE,FALSE,3,2023-07-21T15:42:25.000Z,2023-07-21T16:12:51.000Z
b05ce5e9-7417-4349-9c8b-cc135dc40d06,SFF/ORNo/00022,individual,3000,FALSE,TRUE,0,2023-07-14T12:20:39.000Z,2023-07-20T20:43:38.000Z
73125445-cbd1-49ae-be48-57f91a3a51ea,SF/ORNo/3XBGP,group,2000,FALSE,FALSE,,2023-07-21T16:36:04.000Z,2023-07-21T16:53:07.000Z
a7d56bd5-c866-4be1-a0e0-5c0e8f005ec4,SFF/ORNo/00111,group,2500,FALSE,TRUE,1,2023-07-14T12:34:49.000Z,2023-07-22T08:42:07.000Z
b0811728-1897-4c33-ae6a-3e693e7a1bdb,SFF/ORNo/00040,group,2500,FALSE,TRUE,1,2023-07-14T12:20:42.000Z,2023-07-21T07:23:33.000Z
bdb340dc-95bf-46c6-bb6f-e9d82977c3be,SF/ORNo/LVB9F,group,2500,FALSE,FALSE,,2023-07-21T09:14:54.000Z,2023-07-21T09:16:09.000Z
052872ab-4e35-4c7c-9fd4-7a2edb9fe543,SF/ORNo/QIWQ4,group,2000,FALSE,FALSE,,2023-07-15T12:36:51.000Z,2023-07-15T12:36:51.000Z
056716ab-568d-44db-b6e7-165113b9efcc,SF/ORNo/EJHHX,group,2500,TRUE,FALSE,,2023-07-21T14:07:26.000Z,2023-07-21T14:09:23.000Z
a7d56bd5-c866-4be1-a0e0-5c0e8f005ec4,SFF/ORNo/00111,group,2500,FALSE,TRUE,1,2023-07-14T12:34:49.000Z,2023-07-22T08:42:07.000Z
6dcc1c73-f59f-4415-b6b1-a71c09357e7c,SFF/ORNo/00573,group,2000,FALSE,FALSE,5,2023-07-21T15:42:23.000Z,2023-07-21T16:12:28.000Z
2409e489-7428-4254-aa8f-66cb0044dc84,SFF/ORNo/00554,group,2000,FALSE,FALSE,3,2023-07-21T15:42:20.000Z,2023-07-21T16:12:09.000Z
c3a54246-5b5b-405f-85ed-b9976c53fd98,SF/ORNo/FE9NV,individual,3000,TRUE,FALSE,,2023-07-20T09:11:17.000Z,2023-07-20T09:15:24.000Z
187a961c-7335-4c58-9d5a-9c86757dc27b,SF/ORNo/HN7FW,group,2500,FALSE,FALSE,,2023-07-17T12:00:38.000Z,2023-07-17T12:03:43.000Z
b1cbe155-c66e-4635-acc5-bdc4cc1ccb5f,SFF/ORNo/00261,group,2000,FALSE,TRUE,0,2023-07-20T19:00:03.000Z,2023-07-20T19:00:03.000Z
e782cbcf-d886-4fc5-b2ae-819ebe293835,SFF/ORNo/00511,group,2000,TRUE,TRUE,2,2023-07-20T18:59:58.000Z,2023-07-21T22:41:35.000Z
5a202483-a954-4f85-850a-ae7e24ddd9e7,SFF/ORNo/00215,group,2500,FALSE,TRUE,7,2023-07-14T12:34:49.000Z,2023-07-20T20:44:31.000Z
